id,Product,PMM,Doc_DRI,Doc_type,Content_Title,Description,Update_frequency,Content_status,Last_updated_on,Link,Generated_Keywords
1,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Brochure or flyer,Brochure,"A PDF with 2-3 pages that gives an overview of the product, its features, and benefits, and basic pricing/licensing details.",,Up-to-date,Dec 2024,https://workdrive.zoho.com/file/dinz1bd756e9a65e34e52acdf05df1e7e182b,"pdf, brochure, pages, admanager plus, admp"
2,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Brochure or flyer,Datasheet,"A PDF with 2-3 pages that gives an overview of the product, its features, and technical details such as system requirements.",,Up-to-date,Dec 2024,https://download.manageengine.com/products/ad-manager/active-directory-manager-flyer.pdf,"pdf, pages, datasheet, admanager plus, admp"
3,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Presentation,Slide deck,"PPT with 20-30 slides giving an overview of the product, its features, benefits, etc.",,Up-to-date,Dec 2024,https://download.manageengine.com/products/ad-manager/admanager-overview-new.pdf,"slide, admanager plus, ppt, deck, admp"
4,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Brochure or flyer,Battlecard,"A PDF that shows where the product stands in the current market and how to pitch the product to a lead.
Note: For internal and reseller consumption only.",,Up-to-date,Dec 2024,https://admp.wiki.zoho.com/_attach/marketing/1/17648000003196451/ADManager%2BPlus%2BBattlecard%2B-16.pdf,"pdf, battlecard, admanager plus, shows, admp"
5,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Webpage,ROI calculator,A webpage that shows the ROI of the product.,,Up-to-date,Dec 2024,https://www.manageengine.com/products/ad-manager/roi-calculator.html,"calculator, roi, admanager plus, admp, webpage"
6,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,E-book or guide,Use cases document,A PDF that lists the important use cases the product addresses.,,Up-to-date,Dec 2024,https://download.manageengine.com/products/ad-manager/access-certification-use-cases-guide.pdf,"pdf, cases, admanager plus, admp, use"
7,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Brochure or flyer,Sales Cheat sheet,"A PDF that shows where the product stands in the current market, list the customer pain points, business benefits, use cases, and how to pitch the product to a lead. Note: For internal and reseller consumption only.",,Up-to-date,Dec 2024,https://workdrive.zoho.com/file/70arxbf7dc208cd234cae8705529481784361,"cheat, sales, admanager plus, sheet, admp"
8,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,Admin guide,"Provides you the details of system requirements, product installation and start up. Guides you in configuring ADManager Plus and provides the steps to use all the features.",,Up-to-date,Sep 2024,https://www.manageengine.com/products/ad-manager/help/index.html,"admin, admanager plus, details, provides, admp"
9,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,Architecture guide,Provides information on how each module of ADManager Plus works with AD.,,Up-to-date,Sep 2024,https://download.manageengine.com/products/ad-manager/solution-architecture.pdf,"information, architecture, admanager plus, provides, admp"
10,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,Installation guide,"Provides details on installing and running ADManager Plus as an application or service, installing service packs, configuring domains, and implementing the necessary permissions",,Up-to-date,Sep 2024,https://download.manageengine.com/products/ad-manager/admanager-plus-installation-guide.pdf,"service, installing, admanager plus, admp, installation"
11,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,Security measures guide,This document provides the steps needed to improve the security for your ADManager Plus instance,,Up-to-date,Sep 2024,https://download.manageengine.com/products/ad-manager/resources/securing-admanager-plus-installation.pdf,"admanager plus, provides, admp, measures, security"
12,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,MECPA,Questionnaire to be used for MECPA certification. Includes a few mock questions.,,Up-to-date,Sep 2024,https://writer.zoho.com/writer/open/dq2hqa653a42de82b400cb2dc7142a0abb3c2,"questionnaire, used, mecpa, admanager plus, admp"
13,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,MECPP,Questionnaire to be used for MECPA certification. Includes a few mock questions.,,Up-to-date,Jan 2025,https://writer.zoho.com/writer/open/b2kzm88aaa23930174c20b82d1c41f3805446,"questionnaire, used, mecpp, admanager plus, admp"
14,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,Integrations guide,List of all Third-party application integrations supported by ADManager Plus.,,Up-to-date,Sep 2024,https://www.manageengine.com/products/ad-manager/admanager-plus-integrations.html,"third, admanager plus, admp, integrations, list"
15,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,Database migration KB,Steps to migrate ADManager Plus database from PostgreSQL/MySQL to MS SQL,,Up-to-date,Sep 2024,https://www.manageengine.com/products/ad-manager/admanager-kb/admanager-plus-migration-to-mssql.html,"database, admanager plus, steps, admp, migration"
16,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,Database encryption Guide,Encryption and data storage in ADManager Plus database,,Up-to-date,Sep 2024,https://download.manageengine.com/products/ad-manager/encryption-and-data-storage-in-admanager-plus-database.pdf,"data, database, admanager plus, encryption, admp"
17,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,Third-party applications list,Lit of all third-party software used by ADManager Plus,,Up-to-date,Sep 2024,https://www.manageengine.com/products/ad-manager/help/third-party-software.html,"third, admanager plus, admp, party, applications"
18,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,SSL guide,Steps to install an SSL certificate in ADManager Plus,,Up-to-date,Sep 2024,https://www.manageengine.com/products/ad-manager/admanager-kb/how-to-install-ssl-certificate-in-admanager-plus.html,"ssl, admanager plus, steps, admp, install"
19,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,System requirements guide,"A guide that provides information on hardware and software pre requisites, disk space required for backup and recovery add-ons for ADManager Plus.",,Up-to-date,Sep 2024,https://download.manageengine.com/products/ad-manager/system-requirements.pdf,"admanager plus, provides, admp, requirements, system"
20,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,Data protection guide,A guide that provides information on how data can be secured in ADManager Plus.,,Up-to-date,Sep 2024,https://download.manageengine.com/products/ad-manager/data-protection-and-security-measures-guide.pdf,"data, protection, admanager plus, provides, admp"
21,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,AD least permission guide,A guide that elaborates on the least permissions required to use ADManager Plus.,,Under update,Feb 2024,https://download.manageengine.com/products/ad-manager/permissions-required-for-the-ad-account-configured-in-admanager-plus.pdf,"elaborates, permission, admanager plus, least, admp"
22,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,RFP template,This is a detailed request for proposal document that describes the features of ADManager Plus.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/5i8xtfef569820f564893b95a0b07f54b5dc4,"template, admanager plus, detailed, admp, rfp"
23,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,SOW template,This document details the activities that will be a part of ADManager Plus implementation.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/5i8xtf3b45d81d671496c9ade5c01f0256e9d,"template, admanager plus, details, admp, sow"
24,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,Workbook,This document provides you with exercises on all the features.,,Up-to-date,Sep 2024,https://download.manageengine.com/products/ad-manager/admanagerplus-workbook.pdf,"workbook, exercises, admanager plus, provides, admp"
25,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,POC guide,"It details how ADManager Plus helps IT admins tackle all their AD management challenges, helping save time and simplify AD management.",,Up-to-date,Sep 2024,https://download.manageengine.com/products/ad-manager/admanager-plus-proof-of-concept.pdf,"management, admanager plus, poc, details, admp"
26,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,VPAT,"The purpose of the Voluntary Product Accessibility Template, or VPAT™, is to
assist Federal contracting officials and other buyers in making preliminary 
assessments regarding the availability of commercial “Electronic and Information
Technology” products and services with features that support accessibility.",,Up-to-date,Mar 2025,https://workdrive.zoho.com/file/v1it9c14b4dacfc2744fd82cd8e8f2e3fdbf6,"purpose, admanager plus, admp, accessibility, vpat"
27,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,Quick Start Guide for Exchange management and reporting with ADManager Plus,"Provides you the details of system requirements, product installation and start up.",,Up-to-date,Sep 2024,https://download.manageengine.com/products/ad-manager/exchange-management-quick-start-guide.pdf,"exchange, admanager plus, quick, start, admp"
28,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,Microsoft 365 tenant configuration,"Provides you the details of system requirements, product installation and start up.",,Up-to-date,Sep 2024,https://download.manageengine.com/products/ad-manager/quick-start-microsoft365-management-reporting.pdf,"tenant, admanager plus, microsoft, 365, admp"
29,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,ME certification training guide,Training material for those who want to take up MECPA or MECPP exams.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/5i8xtb9e023955aec451381757c58be5c96b8,"certification, admanager plus, training, admp, material"
30,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,REST API error codes,List of integration REST API error codes in ADMP and their resolution,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/stv3k47c461c6a13140599f078086555cc8b3,"error, admanager plus, admp, api, rest"
31,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,Server migration guide,Steps to move ADManager Plus to a new server.,,Up-to-date,Sep 2024,https://www.manageengine.com/products/ad-manager/admanager-kb/how-to-move-admanager-plus-to-new-server.html,"server, admanager plus, steps, admp, migration"
32,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,High availability guide,Steps to configure high availability (HA) in ADManager Plus,,Up-to-date,Sep 2024,https://www.manageengine.com/products/ad-manager/admanager-kb/configure-high-availability-in-admanager-Plus.html,"admanager plus, high, steps, admp, availability"
33,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,Load balancing guide,"Steps to enables  distribution of requests to instances running on other servers, thereby optimizing and providing a better AD management experience.",,Up-to-date,Sep 2024,https://www.manageengine.com/products/ad-manager/help/admin-settings/enterprise-essentials/active-directory-load-balancing.html,"load, admanager plus, balancing, steps, admp"
34,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,Training agenda,Contains a list of all the items that will be covered duding training,,Up-to-date,Sep 2024,https://download.manageengine.com/sites/meweb/images/training/admanager-training.pdf,"admanager plus, training, contains, admp, agenda"
35,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,Workshop Agenda,Contains the items that will be covered during workshop,,Up-to-date,Sep 2024,https://writer.zoho.com/writer/open/inx6ye33ab169358240649b2dc84bd9b40564,"admanager plus, contains, admp, workshop, agenda"
36,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,Pentest report,,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/ursw3d5b7e65f169743d79cd81d45d82d1e3c,"admp, pentest, report, admanager plus"
37,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Technical Document,API Pricing,,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/p369v6970d7916773449bbd82c56063e9e641,"admp, api, pricing, admanager plus"
38,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,Comparison document template,This document provides a template to help compare key features of ADManager Plus with competitors.,,Up-to-date,Sep 2024,https://writer.zoho.com/writer/open/d8lbb84503308f80348768dc6c96e2f6d5d49,"comparison, template, admanager plus, provides, admp"
39,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,ADManager Plus backup and recovery add-on vs RecoveryManager Plus,This document provides a side-by-side comparison of key features of ADManager Plus add on and RecoveryManager Plus.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/p0rv9c7d7ec67cab04743a0467f19b8bb1499,"admanager, admanager plus, add, admp, recoverymanager"
40,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,ADManager Plus vs ADAudit Plus,This document provides a side-by-side comparison of key features of ADManager Plus  and ADAudit Plus.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/fcebg429db310724045a3b4b9a0c07d58ed4a,"admanager, adaudit, admanager plus, side, admp"
41,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,ADManager Plus vs Microsoft365 Manager Plus,This document provides a side-by-side comparison of key features of ADManager Plus  and Microsoft365 Manager Plus.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/sovq8c7907bc772924c21a5bd7716e384e6b8,"admanager, microsoft365, admanager plus, side, admp"
42,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,Microsoft 365 features of ADManager Plus vs Microsoft365 Manager Plus,This document provides a side-by-side comparison of Microsoft 365 management  features of ADManager Plus  and Microsoft365 Manager Plus.,,Up-to-date,October 2024,https://writer.zoho.com/writer/open/g0eatd388f9f8132b4486bba773096fb9d31a,"admanager, admanager plus, microsoft, 365, admp"
43,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,Adaxes,This document provides a side-by-side comparison of key features of ADManager Plus and Adaxes.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/dz9q06a444e7d1d144e61861df9b27c1d3509,"adaxes, admanager plus, side, provides, admp"
44,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,SailPoint,This document provides a side-by-side comparison of key features of ADManager Plus and SailPoint.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/dz9q0ebcf47f3cf254705a89e26b0d9dc5e5b,"sailpoint, admanager plus, side, provides, admp"
45,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,Quest,This document provides a side-by-side comparison of key features of ADManager Plus and Quest.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/dz9q0c4ca527360e94fb2baeb6f30d6dfb5b1,"admanager plus, side, provides, quest, admp"
46,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,Solarwinds,This document provides a side-by-side comparison of key features of ADManager Plus and Solarwinds ARM.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/dz9q04d311f3d361b48eeb92d04d422733c36,"solarwinds, admanager plus, side, provides, admp"
47,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,CyberArk,This document provides a side-by-side comparison of key features of ADManager Plus and Quest.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/t8qs2a8dc80503ef44940890840aca202479a,"admanager plus, side, provides, admp, cyberark"
48,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,Quest Active Roles,This document provides a side-by-side comparison of key features of ADManager Plus and Quest Active Roles.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/fojuncd0ddc3e73914d7389c45fbba2523334,"active, roles, admanager plus, quest, admp"
49,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,Hyena,This document provides a side-by-side comparison of key features of ADManager Plus and Hyena.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/tibtoffcc86e13baf4705b0271f85445dcca0,"hyena, admanager plus, side, provides, admp"
50,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,Avatier Identity Anywhere,This document provides a side-by-side comparison of key features of ADManager Plus and Avatier Identity Anywhere.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/03rh7cad31ebe8610438383c75a16e0cf051f,"avatier, admanager plus, identity, admp, anywhere"
51,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,Varonis,This document provides a side-by-side comparison of key features of ADManager Plus and Varonis.,,Up-to-date,October 2024,https://workdrive.zoho.com/file/gkdyf1d100ec12fe64dba9aca71548c6e923d,"admanager plus, side, provides, varonis, admp"
52,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,Native tool comparison (ADMP vs AD),This document provides a side-by-side comparison of key features of ADManager Plus and Native AD tool.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/dz9q080b283784f1d4962891a5ccea35651b3,"comparison, native, admanager plus, tool, admp"
53,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,Comparison document template,This document provides a template to help compare key features of ADManager Plus with competitors.,,Up-to-date,Sep 2024,https://writer.zoho.com/writer/open/d8lbb84503308f80348768dc6c96e2f6d5d49,"comparison, template, admanager plus, provides, admp"
54,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,ADManager Plus backup and recovery add-on vs RecoveryManager Plus,This document provides a side-by-side comparison of key features of ADManager Plus add on and RecoveryManager Plus.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/p0rv9c7d7ec67cab04743a0467f19b8bb1499,"admanager, admanager plus, add, admp, recoverymanager"
55,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,ADManager Plus vs ADAudit Plus,This document provides a side-by-side comparison of key features of ADManager Plus  and ADAudit Plus.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/fcebg429db310724045a3b4b9a0c07d58ed4a,"admanager, adaudit, admanager plus, side, admp"
56,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,ADManager Plus vs Microsoft365 Manager Plus,This document provides a side-by-side comparison of key features of ADManager Plus  and Microsoft365 Manager Plus.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/sovq8c7907bc772924c21a5bd7716e384e6b8,"admanager, microsoft365, admanager plus, side, admp"
57,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,Microsoft 365 features of ADManager Plus vs Microsoft365 Manager Plus,This document provides a side-by-side comparison of Microsoft 365 management  features of ADManager Plus  and Microsoft365 Manager Plus.,,Up-to-date,October 2024,https://writer.zoho.com/writer/open/g0eatd388f9f8132b4486bba773096fb9d31a,"admanager, admanager plus, microsoft, 365, admp"
58,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,Adaxes,This document provides a side-by-side comparison of key features of ADManager Plus and Adaxes.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/dz9q06a444e7d1d144e61861df9b27c1d3509,"adaxes, admanager plus, side, provides, admp"
59,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,SailPoint,This document provides a side-by-side comparison of key features of ADManager Plus and SailPoint.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/dz9q0ebcf47f3cf254705a89e26b0d9dc5e5b,"sailpoint, admanager plus, side, provides, admp"
60,ADManager Plus,Anupriya T,admp-marketing@zohocorp.com,Comparison document,Quest,This document provides a side-by-side comparison of key features of ADManager Plus and Quest.,,Up-to-date,Sep 2024,https://workdrive.zoho.com/file/dz9q0c4ca527360e94fb2baeb6f30d6dfb5b1,"admanager plus, side, provides, quest, admp"
